event_id,commence_time,home_team,away_team,bookmaker,player_name,market_key,line,over_price,under_price,opponent_team,predicted_points,std_used,calibration_bin,p_over_model,p_under_model,p_over_market_novig,p_under_market_novig,edge_over,edge_under,best_side,best_edge,predicted_value,normalized_player_name,PLAYER_NAME,games_played_prior,min_last_5,min_last_10,season_avg_minutes_prior,prop_type,diff,calibration_bin_robust,calibration_count_robust,tail_flag,line_bucket,role_bucket,edge_bucket,predicted_rebounds,calibration_count,flags,confidence_flag,side_price,side_payout_per_100,row_count,book_count,best_available_payout_per_100,mean_available_payout_per_100,price_advantage_vs_mean_per_100
d7a3bd092d17e72cfe007b92fc74dd1f,2026-03-28 23:40:00+00:00,Atlanta Hawks,Sacramento Kings,Bovada,Nickeil Alexander-Walker,player_points,16.5,-290,210,,20.067541638888375,7.453559924999308,"(3.0, 5.0]",0.6660768053371829,0.33392319466281706,0.6974398758727697,0.3025601241272304,-0.031363070535586735,0.03136307053558668,under,0.03136307053558668,20.067541638888375,nickeil alexanderwalker,Nickeil Alexander-Walker,68,31.18533333333333,32.507666666666665,33.08502450980392,points,3.5675416388883754,"(3.0, 10.0]",853,False,15-19.5,24-32m,<0.06,,,[],OK,210,210.0,1,1,210.0,210.0,0.0
6ddf73112fefbe7dcb275c09ebdae6a6,2026-03-29 02:10:00+00:00,Phoenix Suns,Utah Jazz,Bovada,Brice Sensabaugh,player_points,16.5,-290,210,,20.62475064275804,11.085526098877263,"(3.0, 5.0]",0.6660768053371829,0.33392319466281706,0.6974398758727697,0.3025601241272304,-0.031363070535586735,0.03136307053558668,under,0.03136307053558668,20.62475064275804,brice sensabaugh,Brice Sensabaugh,66,29.52,25.891833333333334,22.67828282828283,points,4.124750642758041,"(3.0, 10.0]",853,False,15-19.5,24-32m,<0.06,,,[],OK,210,210.0,1,1,210.0,210.0,0.0
d7a3bd092d17e72cfe007b92fc74dd1f,2026-03-28 23:40:00+00:00,Atlanta Hawks,Sacramento Kings,Bovada,Jock Landale,player_points,10.5,-280,205,,8.52736612885334,4.0,"(-3.0, -1.0]",0.37522648439467515,0.6247735156053249,0.6920583468395461,0.3079416531604538,-0.316831862444871,0.3168318624448711,under,0.3168318624448711,8.52736612885334,jock landale,Jock Landale,64,17.092666666666666,16.675166666666666,22.009036458333338,points,-1.9726338711466607,"(-3.0, -1.0]",2168,False,10-14.5,12-24m,0.20+,,,['EXTREME_EDGE'],EXTREME_EDGE,205,204.99999999999997,1,1,204.99999999999997,204.99999999999997,0.0
df362c645ce96c954aeec281f1951a22,2026-03-29 00:10:00+00:00,Memphis Grizzlies,Chicago Bulls,Bovada,Matas Buzelis,player_rebounds,5.5,-280,205,,,,"(0.0, 1.0]",0.474542369415337,0.525457630584663,0.6920583468395461,0.3079416531604538,-0.21751597742420914,0.2175159774242092,under,0.2175159774242092,5.879762935193751,matas buzelis,Matas Buzelis,69,33.086666666666666,32.92383333333333,29.042077294685992,rebounds,0.37976293519375126,"(0.0, 1.0]",6876,False,4.5-6.5,32m+,0.20+,5.879762935193751,6876.0,['EXTREME_EDGE'],EXTREME_EDGE,205,204.99999999999997,1,1,204.99999999999997,204.99999999999997,0.0
df362c645ce96c954aeec281f1951a22,2026-03-29 00:10:00+00:00,Memphis Grizzlies,Chicago Bulls,Bovada,Taylor Hendricks,player_points,9.5,-280,205,,10.962980851224126,4.391911757866829,"(1.0, 3.0]",0.5475369088732505,0.45246309112674954,0.6920583468395461,0.3079416531604538,-0.14452143796629568,0.14452143796629574,under,0.14452143796629574,10.962980851224126,taylor hendricks,Taylor Hendricks,52,25.72,25.178,18.392596153846153,points,1.4629808512241258,"(1.0, 3.0]",3536,False,<10,24-32m,0.10-0.15,,,[],OK,205,204.99999999999997,1,1,204.99999999999997,204.99999999999997,0.0
df362c645ce96c954aeec281f1951a22,2026-03-29 00:10:00+00:00,Memphis Grizzlies,Chicago Bulls,Bovada,Tre Jones,player_rebounds,4.5,205,-280,,,,"(-1.0, 0.0]",0.40639180126930147,0.5936081987306985,0.3079416531604538,0.6920583468395461,0.09845014810884767,-0.09845014810884767,over,0.09845014810884767,3.789174641949944,tre jones,Tre Jones,53,29.111,29.33716666666667,27.004685534591196,rebounds,-0.7108253580500561,"(-1.0, 0.0]",4969,False,4.5-6.5,24-32m,0.06-0.10,3.789174641949944,4969.0,[],OK,205,204.99999999999997,1,1,204.99999999999997,204.99999999999997,0.0
6ddf73112fefbe7dcb275c09ebdae6a6,2026-03-29 02:10:00+00:00,Phoenix Suns,Utah Jazz,Bovada,Brice Sensabaugh,player_rebounds,4.5,205,-280,,,,"(-1.0, 0.0]",0.40639180126930147,0.5936081987306985,0.3079416531604538,0.6920583468395461,0.09845014810884767,-0.09845014810884767,over,0.09845014810884767,4.023910613210546,brice sensabaugh,Brice Sensabaugh,66,29.52,25.891833333333334,22.67828282828283,rebounds,-0.4760893867894538,"(-1.0, 0.0]",4969,False,4.5-6.5,24-32m,0.06-0.10,4.023910613210546,4969.0,[],OK,205,204.99999999999997,1,1,204.99999999999997,204.99999999999997,0.0
d7a3bd092d17e72cfe007b92fc74dd1f,2026-03-28 23:40:00+00:00,Atlanta Hawks,Sacramento Kings,Bovada,Precious Achiuwa,player_points,15.5,205,-280,,11.559158171400831,7.427426651719082,"(-5.0, -3.0]",0.37522648439467515,0.6247735156053249,0.3079416531604538,0.6920583468395461,0.06728483123422135,-0.06728483123422124,over,0.06728483123422135,11.559158171400831,precious achiuwa,Precious Achiuwa,63,32.59666666666667,32.809999999999995,23.03761904761905,points,-3.9408418285991687,"(-inf, -3.0]",335,False,15-19.5,32m+,0.06-0.10,,,[],OK,205,204.99999999999997,1,1,204.99999999999997,204.99999999999997,0.0
df362c645ce96c954aeec281f1951a22,2026-03-29 00:10:00+00:00,Memphis Grizzlies,Chicago Bulls,Bovada,Collin Sexton,player_points,21.5,205,-280,,14.220485021697144,9.262229153335012,"(-10.0, -5.0]",0.37522648439467515,0.6247735156053249,0.3079416531604538,0.6920583468395461,0.06728483123422135,-0.06728483123422124,over,0.06728483123422135,14.220485021697144,collin sexton,Collin Sexton,56,24.869999999999997,23.063,22.77154761904762,points,-7.279514978302856,"(-inf, -3.0]",335,False,20-24.5,24-32m,0.06-0.10,,,[],OK,205,204.99999999999997,1,1,204.99999999999997,204.99999999999997,0.0
df362c645ce96c954aeec281f1951a22,2026-03-29 00:10:00+00:00,Memphis Grizzlies,Chicago Bulls,Bovada,Olivier-Maxence Prosper,player_rebounds,6.5,205,-280,,,,"(-3.0, -1.0]",0.3414991051638827,0.6585008948361173,0.3079416531604538,0.6920583468395461,0.03355745200342891,-0.033557452003428856,over,0.03355745200342891,4.646937054252791,oliviermaxence prosper,Olivier-Maxence Prosper,46,25.423333333333332,26.264666666666663,18.06119565217391,rebounds,-1.853062945747209,"(-10.0, -1.0]",564,False,4.5-6.5,24-32m,<0.06,4.646937054252791,543.0,[],OK,205,204.99999999999997,1,1,204.99999999999997,204.99999999999997,0.0
