player_name,bookmaker,line,predicted_minutes,predicted_points,p_over_model,p_under_model,p_over_market_novig,p_under_market_novig,edge_over,edge_under,best_side,best_edge
Bobby Portis,FanDuel,14.5,27.23869816194968,19.7080265188859,0.7682926829268293,0.23170731707317072,0.47591522157996147,0.5240847784200385,0.2923774613468678,-0.2923774613468678,over,0.2923774613468678
Peyton Watson,FanDuel,9.5,34.093065704736354,18.669690165503205,0.7682926829268293,0.23170731707317072,0.4939310568053083,0.5060689431946916,0.274361626121521,-0.27436162612152093,over,0.274361626121521
Jared McCain,DraftKings,7.5,21.285820337588394,11.36943916099773,0.6943573667711599,0.3056426332288401,0.47404053829539794,0.5259594617046021,0.22031682847576195,-0.22031682847576195,over,0.22031682847576195
Andrew Wiggins,FanDuel,12.5,29.812624114269546,15.830963506839149,0.6943573667711599,0.3056426332288401,0.4808467741935484,0.5191532258064516,0.2135105925776115,-0.2135105925776115,over,0.2135105925776115
Jared McCain,BetOnline.ag,7.5,21.285820337588394,11.36943916099773,0.6943573667711599,0.3056426332288401,0.48149290561381863,0.5185070943861814,0.21286446115734126,-0.21286446115734126,over,0.21286446115734126
Jalen Williams,FanDuel,13.5,26.46930439345585,17.18216176231447,0.6943573667711599,0.3056426332288401,0.48987854251012153,0.5101214574898786,0.20447882426103836,-0.20447882426103847,over,0.20447882426103836
Pascal Siakam,FanDuel,21.5,32.96433782914967,24.55614907078949,0.6943573667711599,0.3056426332288401,0.4939310568053083,0.5060689431946916,0.2004263099658516,-0.20042630996585153,over,0.2004263099658516
Rui Hachimura,FanDuel,8.5,24.320783401760888,11.836744257752652,0.6943573667711599,0.3056426332288401,0.4939310568053083,0.5060689431946916,0.2004263099658516,-0.20042630996585153,over,0.2004263099658516
Pascal Siakam,BetOnline.ag,21.5,32.96433782914967,24.55614907078949,0.6943573667711599,0.3056426332288401,0.4948402542722694,0.5051597457277305,0.19951711249889048,-0.19951711249889037,over,0.19951711249889048
Rui Hachimura,BetOnline.ag,8.5,24.320783401760888,11.836744257752652,0.6943573667711599,0.3056426332288401,0.5,0.5,0.1943573667711599,-0.1943573667711599,over,0.1943573667711599
Pascal Siakam,DraftKings,20.5,32.96433782914967,24.55614907078949,0.6943573667711599,0.3056426332288401,0.5041554124246831,0.4958445875753168,0.1902019543464768,-0.1902019543464767,over,0.1902019543464768
Jalen Duren,FanDuel,22.5,27.00426439966852,18.14604277184909,0.34051724137931033,0.6594827586206897,0.5240847784200385,0.47591522157996147,-0.1835675370407282,0.18356753704072826,under,0.18356753704072826
Rui Hachimura,DraftKings,8.5,24.320783401760888,11.836744257752652,0.6943573667711599,0.3056426332288401,0.5134353038445638,0.48656469615543607,0.18092206292659607,-0.18092206292659596,over,0.18092206292659607
Jalen Williams,DraftKings,12.5,26.46930439345585,17.18216176231447,0.6943573667711599,0.3056426332288401,0.5145711906744379,0.48542880932556204,0.17978617609672198,-0.17978617609672193,over,0.17978617609672198
