player_name,bookmaker,line,predicted_rebounds,p_over_model,p_under_model,p_over_market_novig,p_under_market_novig,edge_over,edge_under,best_side,best_edge,calibration_bin,calibration_count
Jock Landale,Bovada,8.5,3.1153586229897154,0.0,1.0,0.48987854251012153,0.5101214574898786,-0.48987854251012153,0.4898785425101214,under,0.4898785425101214,"(-10.0, -5.0]",1
Jock Landale,DraftKings,8.5,3.1153586229897154,0.0,1.0,0.4685598377281947,0.5314401622718052,-0.4685598377281947,0.46855983772819476,under,0.46855983772819476,"(-10.0, -5.0]",1
Jock Landale,BetOnline.ag,8.5,3.1153586229897154,0.0,1.0,0.46322988528598974,0.5367701147140101,-0.46322988528598974,0.46322988528598985,under,0.46322988528598985,"(-10.0, -5.0]",1
Jock Landale,Bovada,7.5,3.1153586229897154,0.15,0.85,0.6090534979423868,0.39094650205761317,-0.4590534979423868,0.4590534979423868,under,0.4590534979423868,"(-5.0, -3.0]",20
Jock Landale,FanDuel,8.5,3.1153586229897154,0.0,1.0,0.45722256664600125,0.5427774333539988,-0.45722256664600125,0.45722256664600125,under,0.45722256664600125,"(-10.0, -5.0]",1
Jock Landale,BetRivers,8.5,3.1153586229897154,0.0,1.0,0.45588680387409203,0.544113196125908,-0.45588680387409203,0.455886803874092,under,0.455886803874092,"(-10.0, -5.0]",1
Jock Landale,BetMGM,8.5,3.1153586229897154,0.0,1.0,0.4424778761061947,0.5575221238938053,-0.4424778761061947,0.4424778761061947,under,0.4424778761061947,"(-10.0, -5.0]",1
Daniss Jenkins,DraftKings,7.5,2.7983456499135735,0.15,0.85,0.5306122448979592,0.4693877551020409,-0.3806122448979592,0.3806122448979591,under,0.3806122448979591,"(-5.0, -3.0]",20
Daniss Jenkins,FanDuel,7.5,2.7983456499135735,0.15,0.85,0.5281576830249397,0.4718423169750604,-0.3781576830249397,0.3781576830249396,under,0.3781576830249396,"(-5.0, -3.0]",20
Julius Randle,FanDuel,10.5,6.905425769915981,0.15,0.85,0.5281576830249397,0.4718423169750604,-0.3781576830249397,0.3781576830249396,under,0.3781576830249396,"(-5.0, -3.0]",20
Jock Landale,Bovada,9.5,3.1153586229897154,0.0,1.0,0.375,0.625,-0.375,0.375,under,0.375,"(-10.0, -5.0]",1
Julius Randle,DraftKings,10.5,6.905425769915981,0.15,0.85,0.48987854251012153,0.5101214574898786,-0.3398785425101215,0.3398785425101214,under,0.3398785425101214,"(-5.0, -3.0]",20
Josh Giddey,Bovada,7.5,7.007277433779547,0.40591668343731135,0.5940833165626886,0.7026022304832714,0.29739776951672864,-0.29668554704596006,0.29668554704596,under,0.29668554704596,"(-1.0, 0.0]",4969
Josh Giddey,Bovada,8.5,7.007277433779547,0.3388581952117864,0.6611418047882136,0.5915279878971256,0.40847201210287437,-0.2526697926853392,0.25266979268533923,under,0.25266979268533923,"(-3.0, -1.0]",543
Paul George,DraftKings,5.5,4.000490621598214,0.3388581952117864,0.6611418047882136,0.5795601552393274,0.4204398447606727,-0.24070196002754096,0.2407019600275409,under,0.2407019600275409,"(-3.0, -1.0]",543
Josh Giddey,Bovada,10.5,7.007277433779547,0.15,0.85,0.375,0.625,-0.225,0.22499999999999998,under,0.22499999999999998,"(-5.0, -3.0]",20
