player_name,bookmaker,line,predicted_points,P_over_model,P_over_market,edge_over,edge_under,best_side,best_edge
Joel Embiid,DraftKings,22.5,29.123499791677606,0.9027858021930615,0.480324745257228,0.42246105693583347,-0.42246105693583347,over,0.42246105693583347
Joel Embiid,FanDuel,22.5,29.123499791677606,0.9027858021930615,0.5,0.4027858021930615,-0.4027858021930615,over,0.4027858021930615
Ace Bailey,FanDuel,24.5,14.099756231275789,0.12173609526145368,0.4718423169750604,-0.3501062217136067,0.3501062217136066,under,0.3501062217136066
Donovan Mitchell,FanDuel,29.5,23.98748868527849,0.12351869970633211,0.4735298908617039,-0.35001119115537177,0.3500111911553717,under,0.3500111911553717
Luka Doncic,BetOnline.ag,34.5,24.165881346070893,0.1585235063261916,0.4876847290640395,-0.32916122273784787,0.32916122273784776,under,0.32916122273784776
Luka Doncic,DraftKings,34.5,24.165881346070893,0.1585235063261916,0.487517163899638,-0.3289936575734464,0.32899365757344634,under,0.32899365757344634
Luka Doncic,FanDuel,34.5,24.165881346070893,0.1585235063261916,0.48581617766250607,-0.32729267133631446,0.32729267133631446,under,0.32729267133631446
Peyton Watson,FanDuel,9.5,16.049729201869734,0.7992837289489185,0.4939310568053083,0.3053526721436102,-0.30535267214361017,over,0.3053526721436102
Jalen Duren,FanDuel,22.5,16.37972047492563,0.22729849824337145,0.5240847784200385,-0.2967862801766671,0.2967862801766671,under,0.2967862801766671
Kristaps Porzingis,DraftKings,17.5,11.767848188808353,0.22880933707515205,0.5145711906744379,-0.28576185359928585,0.2857618535992859,under,0.2857618535992859
Jalen Duren,DraftKings,23.5,16.37972047492563,0.19216311819225262,0.47614107883817425,-0.2839779606459216,0.2839779606459216,under,0.2839779606459216
Will Riley,FanDuel,16.5,12.754912865895122,0.2716305638199066,0.532258064516129,-0.2606275006962224,0.26062750069622254,under,0.26062750069622254
Kristaps Porzingis,FanDuel,17.5,11.767848188808353,0.22880933707515205,0.4808467741935484,-0.2520374371183963,0.2520374371183963,under,0.2520374371183963
