event_id,commence_time,home_team,away_team,bookmaker,player_name,market_key,line,over_price,under_price,opponent_team,predicted_points,std_used,calibration_bin,p_over_model,p_under_model,p_over_market_novig,p_under_market_novig,edge_over,edge_under,best_side,best_edge,predicted_value,normalized_player_name,PLAYER_NAME,games_played_prior,min_last_5,min_last_10,season_avg_minutes_prior,prop_type,diff,calibration_bin_robust,calibration_count_robust,tail_flag,line_bucket,role_bucket,edge_bucket,predicted_rebounds,calibration_count,flags,confidence_flag
d7a3bd092d17e72cfe007b92fc74dd1f,2026-03-28 23:40:00+00:00,Atlanta Hawks,Sacramento Kings,Bovada,Devin Carter,player_rebounds,3.5,-200,150,,,,"(-1.0, 0.0]",0.40639180126930147,0.5936081987306985,0.625,0.375,-0.21860819873069853,0.21860819873069848,under,0.21860819873069848,2.9262903885477303,devin carter,Devin Carter,28,15.933333333333332,20.571666666666665,14.771785714285716,rebounds,-0.5737096114522697,"(-1.0, 0.0]",4969,False,<4.5,12-24m,0.20+,2.9262903885477303,4969.0,['EXTREME_EDGE'],EXTREME_EDGE
df362c645ce96c954aeec281f1951a22,2026-03-29 00:10:00+00:00,Memphis Grizzlies,Chicago Bulls,Bovada,Matas Buzelis,player_rebounds,5.5,-280,205,,,,"(0.0, 1.0]",0.474542369415337,0.525457630584663,0.6920583468395461,0.3079416531604538,-0.21751597742420914,0.2175159774242092,under,0.2175159774242092,5.879762935193751,matas buzelis,Matas Buzelis,69,33.086666666666666,32.92383333333333,29.042077294685992,rebounds,0.37976293519375126,"(0.0, 1.0]",6876,False,4.5-6.5,32m+,0.20+,5.879762935193751,6876.0,['EXTREME_EDGE'],EXTREME_EDGE
6ddf73112fefbe7dcb275c09ebdae6a6,2026-03-29 02:10:00+00:00,Phoenix Suns,Utah Jazz,Bovada,Oso Ighodaro,player_rebounds,5.5,-275,200,,,,"(0.0, 1.0]",0.474542369415337,0.525457630584663,0.6875,0.3125,-0.212957630584663,0.212957630584663,under,0.212957630584663,6.330264534756607,oso ighodaro,Oso Ighodaro,71,31.18433333333333,29.292833333333338,21.728708920187792,rebounds,0.8302645347566067,"(0.0, 1.0]",6876,False,4.5-6.5,24-32m,0.20+,6.330264534756607,6876.0,['EXTREME_EDGE'],EXTREME_EDGE
df362c645ce96c954aeec281f1951a22,2026-03-29 00:10:00+00:00,Memphis Grizzlies,Chicago Bulls,Bovada,Cedric Coward,player_points,12.5,-240,175,,12.812642891917337,4.967673276069773,"(0.0, 1.0]",0.4510060501270572,0.5489939498729428,0.66,0.3399999999999999,-0.20899394987294284,0.2089939498729429,under,0.2089939498729429,12.812642891917337,cedric coward,Cedric Coward,53,22.966666666666665,23.31683333333333,26.005283018867924,points,0.31264289191733674,"(0.0, 1.0]",3645,False,10-14.5,12-24m,0.20+,,,['EXTREME_EDGE'],EXTREME_EDGE
f1fe04fb5d59dc4d3b310d56b74a9f2a,2026-03-29 23:40:00+00:00,Oklahoma City Thunder,New York Knicks,DraftKings,Isaiah Hartenstein,player_rebounds,7.5,-143,108,,,,"(-3.0, -1.0]",0.3414991051638827,0.6585008948361173,0.5503663681444749,0.4496336318555252,-0.20886726298059222,0.2088672629805921,under,0.2088672629805921,5.557830117892916,isaiah hartenstein,Isaiah Hartenstein,39,20.703,22.194,25.025555555555556,rebounds,-1.942169882107084,"(-10.0, -1.0]",564,False,7-9.5,12-24m,0.20+,5.557830117892916,543.0,['EXTREME_EDGE'],EXTREME_EDGE
d7a3bd092d17e72cfe007b92fc74dd1f,2026-03-28 23:40:00+00:00,Atlanta Hawks,Sacramento Kings,BetRivers,Devin Carter,player_points,11.5,-167,120,,7.969044614359051,7.927448797970534,"(-5.0, -3.0]",0.37522648439467515,0.6247735156053249,0.5791298865069356,0.4208701134930643,-0.2039034021122605,0.2039034021122606,under,0.2039034021122606,7.969044614359051,devin carter,Devin Carter,28,15.933333333333332,20.571666666666665,14.771785714285716,points,-3.530955385640949,"(-inf, -3.0]",335,False,10-14.5,12-24m,0.20+,,,['EXTREME_EDGE'],EXTREME_EDGE
6ddf73112fefbe7dcb275c09ebdae6a6,2026-03-29 02:10:00+00:00,Phoenix Suns,Utah Jazz,BetRivers,Ace Bailey,player_points,17.5,-167,120,,15.92145147646742,8.916900308465442,"(-3.0, -1.0]",0.37522648439467515,0.6247735156053249,0.5791298865069356,0.4208701134930643,-0.2039034021122605,0.2039034021122606,under,0.2039034021122606,15.92145147646742,ace bailey,Ace Bailey,62,26.26,28.518333333333334,26.856344086021505,points,-1.5785485235325805,"(-3.0, -1.0]",2168,False,15-19.5,24-32m,0.20+,,,['EXTREME_EDGE'],EXTREME_EDGE
df362c645ce96c954aeec281f1951a22,2026-03-29 00:10:00+00:00,Memphis Grizzlies,Chicago Bulls,Bovada,G.G. Jackson,player_points,15.5,-230,170,,15.99382921646083,4.0,"(0.0, 1.0]",0.4510060501270572,0.5489939498729428,0.6529968454258674,0.3470031545741324,-0.20199079529881026,0.20199079529881042,under,0.20199079529881042,15.99382921646083,gg jackson,GG Jackson,47,26.252333333333333,25.455833333333334,20.759397163120568,points,0.49382921646082956,"(0.0, 1.0]",3645,False,15-19.5,24-32m,0.20+,,,['EXTREME_EDGE'],EXTREME_EDGE
df362c645ce96c954aeec281f1951a22,2026-03-29 00:10:00+00:00,Memphis Grizzlies,Chicago Bulls,Bovada,Isaac Okoro,player_points,8.5,-230,170,,8.637149105018013,4.0496913462633195,"(0.0, 1.0]",0.4510060501270572,0.5489939498729428,0.6529968454258674,0.3470031545741324,-0.20199079529881026,0.20199079529881042,under,0.20199079529881042,8.637149105018013,isaac okoro,Isaac Okoro,54,32.70866666666667,32.2275,26.968703703703703,points,0.13714910501801292,"(0.0, 1.0]",3645,False,<10,32m+,0.20+,,,['EXTREME_EDGE'],EXTREME_EDGE
d7a3bd092d17e72cfe007b92fc74dd1f,2026-03-28 23:40:00+00:00,Atlanta Hawks,Sacramento Kings,Bovada,Devin Carter,player_points,11.5,-160,120,,7.969044614359051,7.927448797970534,"(-5.0, -3.0]",0.37522648439467515,0.6247735156053249,0.5751633986928104,0.4248366013071895,-0.19993691429813526,0.19993691429813543,under,0.19993691429813543,7.969044614359051,devin carter,Devin Carter,28,15.933333333333332,20.571666666666665,14.771785714285716,points,-3.530955385640949,"(-inf, -3.0]",335,False,10-14.5,12-24m,0.15-0.20,,,['EXTREME_EDGE'],EXTREME_EDGE
