player_name,bookmaker,line,predicted_minutes,predicted_points,p_over_model,p_under_model,p_over_market_novig,p_under_market_novig,edge_over,edge_under,best_side,best_edge
Will Riley,FanDuel,16.5,31.122862759134218,12.668822688254117,0.35236220472440943,0.6476377952755905,0.532258064516129,0.4677419354838709,-0.17989585979171957,0.17989585979171963,under,0.17989585979171963
Ayo Dosunmu,DraftKings,16.5,30.147960606826903,13.413633800311564,0.35236220472440943,0.6476377952755905,0.5259594617046021,0.47404053829539794,-0.17359725698019263,0.17359725698019257,under,0.17359725698019257
Ayo Dosunmu,BetOnline.ag,16.5,30.147960606826903,13.413633800311564,0.35236220472440943,0.6476377952755905,0.5123152709359606,0.4876847290640395,-0.1599530662115512,0.15995306621155103,under,0.15995306621155103
Peyton Watson,FanDuel,9.5,32.97603259287862,17.718739724993483,0.6488095238095238,0.35119047619047616,0.4939310568053083,0.5060689431946916,0.15487846700421554,-0.15487846700421548,over,0.15487846700421554
Josh Minott,FanDuel,13.5,21.062876062769757,9.162030904642146,0.35236220472440943,0.6476377952755905,0.5060689431946916,0.4939310568053083,-0.1537067384702822,0.1537067384702822,under,0.1537067384702822
Daniss Jenkins,DraftKings,16.5,26.586316122773233,11.811952616921205,0.35236220472440943,0.6476377952755905,0.5020774472328402,0.4979225527671597,-0.14971524250843077,0.14971524250843082,under,0.14971524250843082
Dylan Harper,FanDuel,15.5,24.294383782643443,12.124463712781763,0.35236220472440943,0.6476377952755905,0.5,0.5,-0.14763779527559057,0.1476377952755905,under,0.1476377952755905
Dylan Harper,BetOnline.ag,15.5,24.294383782643443,12.124463712781763,0.35236220472440943,0.6476377952755905,0.4969046636401156,0.5030953363598845,-0.14454245891570616,0.14454245891570605,under,0.14454245891570605
Daniss Jenkins,FanDuel,16.5,26.586316122773233,11.811952616921205,0.35236220472440943,0.6476377952755905,0.4939310568053083,0.5060689431946916,-0.14156885208089887,0.14156885208089887,under,0.14156885208089887
De'Anthony Melton,FanDuel,14.5,24.06048586880518,12.816106579122382,0.39387837293596456,0.6061216270640355,0.532258064516129,0.4677419354838709,-0.13837969158016444,0.1383796915801646,under,0.1383796915801646
Dyson Daniels,FanDuel,11.5,32.998284352523854,14.593887615501014,0.6058467741935484,0.3941532258064516,0.4677419354838709,0.532258064516129,0.1381048387096775,-0.13810483870967738,over,0.1381048387096775
Bones Hyland,BetOnline.ag,14.5,21.105647074342063,10.625719611808774,0.35236220472440943,0.6476377952755905,0.48974190636412124,0.5102580936358787,-0.1373797016397118,0.1373797016397118,under,0.1373797016397118
Dylan Harper,DraftKings,15.5,24.294383782643443,12.124463712781763,0.35236220472440943,0.6476377952755905,0.4896023956080519,0.510397604391948,-0.13724019088364248,0.13724019088364248,under,0.13724019088364248
Jaxson Hayes,FanDuel,6.5,17.232872468553758,5.353818415752375,0.39387837293596456,0.6061216270640355,0.5281576830249397,0.4718423169750604,-0.13427931008897515,0.1342793100889751,under,0.1342793100889751
Jonathan Kuminga,FanDuel,11.5,20.68573915717663,9.553055682944006,0.39387837293596456,0.6061216270640355,0.5281576830249397,0.4718423169750604,-0.13427931008897515,0.1342793100889751,under,0.1342793100889751
Jaylen Brown,FanDuel,25.5,35.23107777407391,29.412758014958218,0.6058467741935484,0.3941532258064516,0.4718423169750604,0.5281576830249397,0.13400445721848797,-0.13400445721848808,over,0.13400445721848797
Jonathan Kuminga,DraftKings,11.5,20.68573915717663,9.553055682944006,0.39387837293596456,0.6061216270640355,0.5259594617046021,0.47404053829539794,-0.1320810887686375,0.13208108876863756,under,0.13208108876863756
G.G. Jackson,DraftKings,15.5,25.593435378749515,13.609224111833162,0.39387837293596456,0.6061216270640355,0.5259594617046021,0.47404053829539794,-0.1320810887686375,0.13208108876863756,under,0.13208108876863756
Cedric Coward,DraftKings,12.5,25.708467082470587,16.653096526681562,0.6058467741935484,0.3941532258064516,0.47404053829539794,0.5259594617046021,0.13180623589815044,-0.13180623589815044,over,0.13180623589815044
Jared McCain,DraftKings,7.5,21.186742935903293,11.833381574235508,0.6058467741935484,0.3941532258064516,0.47404053829539794,0.5259594617046021,0.13180623589815044,-0.13180623589815044,over,0.13180623589815044
Robert Williams,FanDuel,6.5,16.204813724564012,5.105644388533208,0.39387837293596456,0.6061216270640355,0.5240847784200385,0.47591522157996147,-0.13020640548407397,0.13020640548407403,under,0.13020640548407403
Reed Sheppard,FanDuel,15.5,28.79064054188378,11.826594445461172,0.35236220472440943,0.6476377952755905,0.4808467741935484,0.5191532258064516,-0.12848456946913894,0.1284845694691389,under,0.1284845694691389
Jayson Tatum,DraftKings,19.5,30.732420169258532,17.344269674716717,0.39387837293596456,0.6061216270640355,0.5217643644805572,0.47823563551944287,-0.12788599154459263,0.12788599154459263,under,0.12788599154459263
Reed Sheppard,DraftKings,13.5,28.79064054188378,11.826594445461172,0.39387837293596456,0.6061216270640355,0.5217643644805572,0.47823563551944287,-0.12788599154459263,0.12788599154459263,under,0.12788599154459263
Leonard Miller,FanDuel,8.5,22.527932326824708,6.668198823602876,0.39387837293596456,0.6061216270640355,0.5191532258064516,0.4808467741935484,-0.12527485287048706,0.12527485287048712,under,0.12527485287048712
Drake Powell,FanDuel,7.5,20.32436037583818,5.630370500815628,0.39387837293596456,0.6061216270640355,0.5191532258064516,0.4808467741935484,-0.12527485287048706,0.12527485287048712,under,0.12527485287048712
Tobias Harris,FanDuel,13.5,26.492177884686456,12.380177370496606,0.39387837293596456,0.6061216270640355,0.5191532258064516,0.4808467741935484,-0.12527485287048706,0.12527485287048712,under,0.12527485287048712
Jared McCain,BetOnline.ag,7.5,21.186742935903293,11.833381574235508,0.6058467741935484,0.3941532258064516,0.48149290561381863,0.5185070943861814,0.12435386857972974,-0.12435386857972974,over,0.12435386857972974
Cedric Coward,BetOnline.ag,12.5,25.708467082470587,16.653096526681562,0.6058467741935484,0.3941532258064516,0.48149290561381863,0.5185070943861814,0.12435386857972974,-0.12435386857972974,over,0.12435386857972974
