event_id,commence_time,home_team,away_team,bookmaker,player_name,market_key,line,over_price,under_price,opponent_team,schedule_key,predicted_value_prod,predicted_value_label,p_over_prod,p_under_prod,edge_over_prod,edge_under_prod,best_side_prod,best_edge_prod,prod_calibration_bin,prod_calibration_count,predicted_points_exp,best_side_exp,best_edge_exp,predicted_minutes_exp,p_over_market_novig,p_under_market_novig,confidence_flag,notes,flags,excluded_from_test,games_played_prior,predicted_rebounds_prod,predicted_value_exp,prop_type,display_prop_type,broadcast,game_label
bcbad64f54906ae96b4be0ef54b453b4,2026-03-26T00:10:00Z,Memphis Grizzlies,San Antonio Spurs,DraftKings,Victor Wembanyama,player_rebounds,12.5,-112,-118.0,,2026-03-26|memphis grizzlies|san antonio spurs,9.803682441744272,rebounds,0.3388581952117864,0.6611418047882136,-0.1550728615935219,0.15507286159352196,under,0.15507286159352196,"(-3.0, -1.0]",543,,,,,0.4939310568053083,0.5060689431946916,OK,,[],False,56,9.803682441744272,,player_rebounds,rebounds,,San Antonio Spurs @ Memphis Grizzlies
bcbad64f54906ae96b4be0ef54b453b4,2026-03-26T00:10:00Z,Memphis Grizzlies,San Antonio Spurs,Bovada,Victor Wembanyama,player_rebounds,12.5,-110,-120.0,,2026-03-26|memphis grizzlies|san antonio spurs,9.803682441744272,rebounds,0.3388581952117864,0.6611418047882136,-0.15102034729833513,0.15102034729833502,under,0.15102034729833502,"(-3.0, -1.0]",543,,,,,0.48987854251012153,0.5101214574898786,OK,,[],False,56,9.803682441744272,,player_rebounds,rebounds,,San Antonio Spurs @ Memphis Grizzlies
bcbad64f54906ae96b4be0ef54b453b4,2026-03-26T00:10:00Z,Memphis Grizzlies,San Antonio Spurs,FanDuel,Victor Wembanyama,player_rebounds,12.5,-110,-120.0,,2026-03-26|memphis grizzlies|san antonio spurs,9.803682441744272,rebounds,0.3388581952117864,0.6611418047882136,-0.15102034729833513,0.15102034729833502,under,0.15102034729833502,"(-3.0, -1.0]",543,,,,,0.48987854251012153,0.5101214574898786,OK,,[],False,56,9.803682441744272,,player_rebounds,rebounds,,San Antonio Spurs @ Memphis Grizzlies
bcbad64f54906ae96b4be0ef54b453b4,2026-03-26T00:10:00Z,Memphis Grizzlies,San Antonio Spurs,Bovada,Harrison Barnes,player_rebounds,2.5,-200,150.0,,2026-03-26|memphis grizzlies|san antonio spurs,3.1182025000880436,rebounds,0.47469458987783597,0.525305410122164,-0.15030541012216403,0.15030541012216403,under,0.15030541012216403,"(0.0, 1.0]",6876,,,,,0.625,0.375,OK,,[],False,66,3.1182025000880436,,player_rebounds,rebounds,,San Antonio Spurs @ Memphis Grizzlies
bcbad64f54906ae96b4be0ef54b453b4,2026-03-26T00:10:00Z,Memphis Grizzlies,San Antonio Spurs,BetRivers,Victor Wembanyama,player_rebounds,12.5,-109,-125.0,,2026-03-26|memphis grizzlies|san antonio spurs,9.803682441744272,rebounds,0.3388581952117864,0.6611418047882136,-0.145347135489102,0.14534713548910205,under,0.14534713548910205,"(-3.0, -1.0]",543,,,,,0.4842053307008884,0.5157946692991116,OK,,[],False,56,9.803682441744272,,player_rebounds,rebounds,,San Antonio Spurs @ Memphis Grizzlies
bcbad64f54906ae96b4be0ef54b453b4,2026-03-26T00:10:00Z,Memphis Grizzlies,San Antonio Spurs,BetOnline.ag,Victor Wembanyama,player_rebounds,12.5,-103,-125.0,,2026-03-26|memphis grizzlies|san antonio spurs,9.803682441744272,rebounds,0.3388581952117864,0.6611418047882136,-0.13848475020530943,0.13848475020530937,under,0.13848475020530937,"(-3.0, -1.0]",543,,,,,0.4773429454170958,0.5226570545829042,OK,,[],False,56,9.803682441744272,,player_rebounds,rebounds,,San Antonio Spurs @ Memphis Grizzlies
bcbad64f54906ae96b4be0ef54b453b4,2026-03-26T00:10:00Z,Memphis Grizzlies,San Antonio Spurs,Bovada,Stephon Castle,player_rebounds,4.5,-170,130.0,,2026-03-26|memphis grizzlies|san antonio spurs,5.126905809252027,rebounds,0.47469458987783597,0.525305410122164,-0.1168333980192896,0.11683339801928966,under,0.11683339801928966,"(0.0, 1.0]",6876,,,,,0.5915279878971256,0.40847201210287437,OK,,[],False,59,5.126905809252027,,player_rebounds,rebounds,,San Antonio Spurs @ Memphis Grizzlies
bcbad64f54906ae96b4be0ef54b453b4,2026-03-26T00:10:00Z,Memphis Grizzlies,San Antonio Spurs,Bovada,Taylor Hendricks,player_rebounds,3.5,-170,130.0,,2026-03-26|memphis grizzlies|san antonio spurs,4.154007976185567,rebounds,0.47469458987783597,0.525305410122164,-0.1168333980192896,0.11683339801928966,under,0.11683339801928966,"(0.0, 1.0]",6876,,,,,0.5915279878971256,0.40847201210287437,OK,,[],False,52,4.154007976185567,,player_rebounds,rebounds,,San Antonio Spurs @ Memphis Grizzlies
bcbad64f54906ae96b4be0ef54b453b4,2026-03-26T00:10:00Z,Memphis Grizzlies,San Antonio Spurs,BetMGM,Dylan Harper,player_rebounds,4.5,105,-140.0,,2026-03-26|memphis grizzlies|san antonio spurs,3.345933187493738,rebounds,0.3388581952117864,0.6611418047882136,-0.11654977442768222,0.11654977442768233,under,0.11654977442768233,"(-3.0, -1.0]",543,,,,,0.4554079696394686,0.5445920303605313,OK,,[],False,58,3.345933187493738,,player_rebounds,rebounds,,San Antonio Spurs @ Memphis Grizzlies
bcbad64f54906ae96b4be0ef54b453b4,2026-03-26T00:10:00Z,Memphis Grizzlies,San Antonio Spurs,Bovada,Keldon Johnson,player_rebounds,4.5,-165,125.0,,2026-03-26|memphis grizzlies|san antonio spurs,4.711822111852401,rebounds,0.47469458987783597,0.525305410122164,-0.10880246316735076,0.10880246316735065,under,0.10880246316735065,"(0.0, 1.0]",6876,,,,,0.5834970530451867,0.4165029469548134,OK,,[],False,71,4.711822111852401,,player_rebounds,rebounds,,San Antonio Spurs @ Memphis Grizzlies
